ID,TITLE,LINK,DATE,DESCRIPTION,IMAGESIZE
,CITRIS hosts California Farm Bureau President,https://citris.ucmerced.edu/news/farm-bureau-at-work,26-Oct-22,"Farm Bureau representatives met with Chancellor Juan Muñoz of the University of California, Merced, this month to discuss potential science and research collaborations that may benefit farmers, ranchers and students, while generating important agricultural data to guide policymakers.",
CCSTImage1,Lisa Yeo comments on ag tech information and protecting users in CCST Panel,https://citris.ucmerced.edu/news/CCST-Lisa-Yeo,18-Oct-22,"Agricultural innovation depends on detailed information. Data are collected at every step of the production process, with sensors on combines and tractors, irrigation, drainage ditches, water wells, not to mention remote sensing and aerial maps of fields.",
,LEDE: Agriculture's Next Big Step in Preserving the Planet,https://citris.ucmerced.edu/news/LEDE-Blog,12-Oct-22,"Recently, the Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute hosted University of California, Merced professor, recipient of a F3 Challenge Grant, and CITRIS Seed Fund Ricardo de Castro. On October 12, 2022, he discussed his newest endeavor.",
f3_hero,Fresno-Merced Future of Food Innovation coalition receives $65.1 M from US government,https://citris-uc.org/fresno-merced-future-of-food-innovation-coalition-receives-65m-from-us-government/,12-Sep-22,"On Sept. 2, the White House announced a $65.1 million award — the largest federal grant ever awarded to the Central Valley — to the Fresno-Merced Future of Food Innovation (F3) Initiative coalition as part of its “Build Back Better” initiative to boost economic recovery after the pandemic.",
co1_final,UC Merced and CITRIS Key Collaborators on $65.1M Federal Grant,https://citris.ucmerced.edu/news/fedgrant,2-Sep-22,"The White House announced today a $65.1 million award to the Fresno-Merced Future of Food Innovation Coalition. The funding will help launch a state-of-the-art agricultural technology hub that will serve and connect farmers across the San Joaquin Valley to industry and spark a new, more advanced era in agriculture-based technology.",
Castro_news,Ricardo de Castro's CITRIS Research Exchange Seminar,https://citris-uc.org/event/citris-research-exchange-ricardo-de-castro-on-sustainable-agtech/,31-Aug-22,"Register to attend Ricardo de Castro's seminar titled, <strong>Electric Propulsion in Agriculture Vehicles: Opportunities and Challenges</strong>. This talk will focus on the transition from today's diesel-dominated machines to tomorrow's zero-emission tractors. ",
CITRIS_Research_Exchange,CITRIS Research Exchange: Fall 2022 Speakers,https://citris-uc.org/news-events/citris-research-exchange/?mc_cid=49bcf91e0b&mc_eid=9540515cc2,31-Aug-22,"Free and open to the public, the CITRIS Research Exchange offers fresh perspectives on information technology and society from distinguished academic, industry and civic leaders. Each seminar takes place on Wednesdays from noon to 1 p.m. via Zoom.",
,News Update,https://citris.ucmerced.edu/news/soenewsupdate2,23-Aug-22,Good day to you all -- and Welcome to the start of Fall semester!  I wanted to take this opportunity to share two very important news items featuring our faculty.,
citrisfundingnewsimg,CITRIS Seed Funding 2022 Request for Proposals,https://mailchi.mp/citris-uc/2022-seed-funding-call-for-proposals,15-Aug-22,"The CITRIS Seed Funding program issues short-term, competitive awards of <strong>$40,000-$60,000</strong> per project to advance information technology research and catalyze early work that can benefit industry, the public sector and society at large.",
,School of Engineering - News Update,https://citris.ucmerced.edu/news/soenewsupdate,15-Jul-22,"Happy Friday to you all!  Just wanted to relay some news digest featuring our distinguished faculty, alumni and campus. ",
,Calling UC Merced Interns: Join the CITRIS team and get your start in tech!,https://citris.ucmerced.edu/news/citrisjobpostings,30-Jun-22,<strong>CITRIS is hiring students for positions for Fall 2022!</strong><p style='margin-top: -20px; text-align: center'><br>CITRIS Student Lead<br> CITRIS Videographer<br> CITRIS Multimedia and Outreach Coordinator<br> CITRIS Nextech Educator,
flyingbuses,CITRIS Researchers Lay Groundwork to Bring Flying Buses to California Skies,https://citris.ucmerced.edu/news/flying-buses,14-Apr-22,"The California Department of Transportation (Caltrans) has awarded a team of researchers from the University of California campuses at Merced, Berkeley and Davis a two-year grant to simulate urban air mobility in the San Francisco area, and to draft regulations for this highly complex form of travel.",
drought2,Drought and California’s Agriculture,https://www.ppic.org/publication/policy-brief-drought-and-californias-agriculture/?utm_source=ppic&utm_medium=email&utm_campaign=epub,14-Apr-22,"California’s agricultural sector is the nation’s largest: it generates more than $50 billion in annual revenue and employs more than 420,000 people. The ongoing drought is taking a toll on agriculture, related sectors, and rural communities, but there are ways to increase resilience in a warming world.",90
susie-climate-1,Secure Water Future Featured as UC Research Helping Meet the Challenges of the Climate Crisis,https://universityofcalifornia.edu/news/how-uc-research-helping-california-meet-challenges-climate-crisis,"Apirl 6,2022","Secure Water Future is highlighted as one of the projects involving University of California researchers that has the potential to help meet the challenges of the climate crisis. Along with other innovative research and education initiatives, SWF brings together researchers and extension specialists to enhance climate resilience.",
makerfair,UC Merced’s Mobile Maker Lab Brings Education to Community Fair,https://citris.ucmerced.edu/news/Tri-Valley-Innovation-Fair,1-Apr-22,"A team of UC Merced engineering students brought hands-on lessons on drones and robotics to hundreds of children and families at the recent Tri-Valley Innovation Fair. “Drones and robots are a gateway, a spark for young people to explore STEM,” said Leigh Bernacchi, program director of the Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute at UC Merced, who led the students in the all-day demonstrations at the March 19 fair.",
drought-agri,"Last Year’s Drought Cost Ag Industry More Than $1 Billion, Thousands of Jobs, New Analysis Shows",https://citris.ucmerced.edu/news/last-year’s-drought-cost-ag-industry-more-1-billion-thousands-jobs-new-analysis-shows,"February 24,2022","The Economic Impacts of the 2021 Drought on California Agriculture Preliminary Report, released today, analyzes the impacts of last year’s drought in the Central Valley, the Russian River Basin and northern intermountain valley areas. The researchers developed these preliminary estimates of economic impacts using surveys, reviews of hydrological information and remote sensing data gathered from those areas and comparing them to average conditions, as well as to the 2012-2016 drought.",
nextech,Building is Believing,https://citris.ucmerced.edu/news/nextech-news-2022,"February 14,2022",San Joaquin Valley students see a future in robotics and computer science with UC Merced. Learn more about the Nextech Robotics program by clicking the image above.,
,Dr. Josh Viers Speaks with Insight’s Vicki Gonzalez,https://www.capradio.org/news/insight/2022/01/25/scusd-equity-officers-san-joaquin-valley-climate-change-b-street-theatre-co-founder-retires/,"January 25,2022","Dr. Josh Viers was recently interviewed by Insight’s Vicki Gonzalez. In their discussion, Dr. Viers described a UC Merced study on how climate change will likely impact agriculture and disadvantaged communities in the San Joaquin Valley. Speaking about climate change, Dr. Viers stated, “It is a race against time […] We need to […] think about a clean energy future. That is the full transition and decarbonization of agriculture.” To hear Dr. Viers discussion on the impact of climate change, skip to 11:50.",
ccca,Faculty Report IDs Top Climate Challenges Facing Valley,https://citris.ucmerced.edu/news/faculty-report-ids-top-climate-challenges-facing-valley,20-Jan-22,"California’s Central Valley is on the front lines of climate change. The Fourth Regional Climate Change Assessment, by a team of UC Merced and affiliated researchers, illustrates the biggest problems — and possible solutions — facing California’s unique biomes and communities, from the coasts to the mountains and deserts.",
2022athena-awards-winners,Meet the 2022 EDGE in Tech Athena Awards winners,https://citris.ucmerced.edu/news/meet-the-2022-edge-in-tech-athena-awards-winners,14-Jan-22,"The recipients of the 2022 EDGE in Tech Initiative Athena Awards have been selected. Of the four recipients, the Executive Leadership Award goes to Sepi Hejazi Moghadam who leads the CITRIS Valle Program. Learn more about the award and the recipients by clicking the image above.",
aviationprize,CITRIS announces winners of first-ever student aviation prize,https://citris.ucmerced.edu/news/citris-announces-winners-of-first-ever-student-aviation-prize,13-Jan-22,"A team from the University of California, Merced comprising eight undergraduate and graduate students has won the inaugural CITRIS Aviation Prize. For engineering the winning proposal, they will receive a $2,000 cash award, as well as a $25,000 budget to support a live demonstration of their flight in spring 2022.",
seed-funding-2021,13 cross-campus projects selected for 2021 Seed Awards,https://citris.ucmerced.edu/news/13-cross-campus-projects-selected-for-2021-seed-awards,10-Dec-21,"The Center for Information Technology Research in the Interest of Society and the Banatao Institute (CITRIS) announce the recipients of the 2021 CITRIS Seed Awards. Competitive teams from the University of California campuses at Berkeley, Davis, Davis Health, Merced and Santa Cruz submitted 47 proposals for innovative, early-stage projects that emphasize collaboration across two or more institutions. This year, thanks in part to external philanthropic support, 13 teams were selected to each receive a one-time award of up to $60,000 for interdisciplinary work. These projects are designed to show results within a year, but many promise far-reaching influence on the future of their fields.",
ag-related-learning,USDA Grant Supports Diverse Ag-related Learning and Training for Students,https://citris.ucmerced.edu/news/ag-related-learning,18-Nov-21," Professor Rudy M. Ortiz’s training program, Facilitating Agriculture-Related Mentoring for Emerging Research Scholars or FARMERS has been funded by the USDA for $1 million. Read more about the program.",
,"RESEARCHERS TO STUDY, REPORT ON IMPACTS OF DROUGHT ON AGRICULTURE AND COMMUNITIES",https://citris.ucmerced.edu/news/drought-impacts,16-Nov-21,"A new $1.5 million research grant from the California Department of Food and Agriculture is supporting School of Engineering Professor Josué Medellín-Azuara, collaborating engineering professors and John Abatzoglou and engineering and policy expert Alvar Escriva-Bou from the Public Policy Institute of California (PPIC) in developing economic analysis and decision support tools for agriculture during droughts.",
,Join our team and earn your PhD!,http://securewaterfuture.net/news/phd-recruitment,17-Nov-21,"The Environmental Systems Graduate Group at the University of California, Merced is currently recruiting PhD students for Fall 2022. Competitive funding packages are available and include a tuition waiver, stipend, and health insurance. Join a dynamic and multi-institution team through a large USDA-funded research, education, and outreach project on water, agriculture, ecosystems, and policy. The program is titled, Securing a Climate Resilient Water Future for Agriculture and Ecosystems through Innovations in Measurement, Management, and Markets. Learn more and apply!",
,A View of AgTech Progress: The advancements within the AgTech field with Distinguished Professor Martin Kenney and Professor Anne Visser,https://citris.ucmerced.edu/news/laca-agbag,2-Nov-21,"AgBag is the Center for Information Technology Research in the Interest of Society and the Banatao Institute’s latest series of seminar events where respected professors and professionals within their field discuss the latest advancements in the burgeoning field of agricultural technology. CITRIS’s ag-food-tech research initiative with UC Merced’s leading research organizations NSF Engineering Research Center IoT4Ag and UCOP Multi Campus Research Initiative Labor and Automation in California Agricuture (LACA) hosted Distinguished Professor Martin Kenney and Professor Anne Visser to share their work-in-progress on the “Digitalization and Platformization in Agriculture.” I am Miriam Martinez, a third-year Psychology major and the graphic and media intern at CITRIS here to discuss the topics explored in the recent AgBag.",
oxygen1,UC Merced Oxygen Fund,https://innovate.ucmerced.edu/oxygen,2-Nov-21,"Take flight with the UC Merced Oxygen Fund. The Oxygen Fund is designed to help bring your idea, invention, business, class project, capstone, venture, or hackathon idea to the next step. This award is meant to give you oxygen, or breathing room, to spend time pursuing and developing your project. Through this grant, you can receive mentoring and financial support to give you runway. If you don’t design the future, who will? <br><br>Up to two Oxygen Fund awards will be granted, and recipients will receive up to <b>$3,000</b>. Each project is limited to submitting to two funding cycles. Applications are accepted twice a year (spring and fall semesters). <br><br> Deadling to apply: <b>Wednesday, November 17, 2021 at 11:59 p.m.</b>Learn more and apply!",
landsat2,LANDSAT-9 LAUNCH LIVE,https://citris.ucmerced.edu/news/landsat-launch,27-Oct-21,"Launched into orbit on September 27th, 2021, Landsat-9 is NASA’s first satellite to take images of the earth in 13 years. Continuing the nearly 50-year legacy of providing tremendous coverage and detail of Earth’s surface, the satellite will work in tandem with Landsat-8 to provide temporal coverage of observations and image the entire Earth every eight days, providing over 700 images per day. Associate Director of CITRIS, Dr. Erin Hestir had the privelege to attend the event in-person and hosted a watch party. <br><br>Learn more about the Landsat satellite by clicking the image above.",
2021-Fall-new-hire-banner,Join Our Student Intern Team for Fall 2021!,https://citris.ucmerced.edu/news/citris-intern-job-openings,26-Oct-21,"CITRIS is looking for hard working and motivated UC Merced undergrads to fill various positions. All job applications can be found on handshake. If you think you would be a good fit, apply today! We will be reviewing applications on an ongoing basis until positions have been filled. Click here to learn more about the positions.",
,Stark Assesses Safety of Flying Car Study with Caltrans,https://news.ucmerced.edu/content/stark-assesses-safety-flying-car-study-caltrans,13-Oct-21,"Director of the UC Center of Excellence on Unmanned Aircraft System Safety Brandon Stark and an undergraduate researcher will be supporting the assessment of safety and policy for a new California Department of Transportation (Caltrans) project. A multi-UC endeavor, Stark and his colleagues will study advanced air mobility vehicles, or what one might think of as futuristic flying cars. The project will involve developing a simulation of a futuristic air traffic network and designing analysis tools to study impacts to society. This work is part of the CITRIS Aviation program across several UC CITRIS campuses.",
,CITRIS HIRING Academic Coordinator II,https://citris.ucmerced.edu/news/academic-coordinator-position,12-Oct-21,"CITRIS is now hiring an Academic Coordinator for developing, tracking, and reporting core elements of the USDA Sustainable Agricultural Systems project: Securing a Climate Resilient Water Future through Innovation in Measurement, Management, and Markets (SWIM).",
SWIM-VIERS,UC Merced Leads Innovative Effort to Secure Water for Agriculture and Ecosystems,https://citris.ucmerced.edu/news/SWIM,6-Oct-21,"UC Merced’s largest research grant in its 16-year history aims to improve agricultural and environmental water resilience. The new $10 million collaborative focuses on water banking, trading and improvements in data-driven management practices to arrive at a climate-resilient future in water-scarce regions of the United States.",
Valle-2022,¡Valle! 2022 is Currently accepting applications,https://citris.ucmerced.edu/valle,30-Sep-21,"¡Valle! Get your start in tech! enables undergraduate students in STEM like YOU to network, build skills, gain confidence, and access rewarding experiences in research or graduate school. Meet students from across the Central Valley and engage with graduate students, educators, practitioners, and researchers who have successful STEM careers.",
,New Job Posting: CITRIS Grant Development Officer,https://citris.ucmerced.edu/news/CITRIS-hiring-grant-development-officer,29-Sep-21,"Know of any motivated, talented, team players that want to join an academic research engagement team committed to making a difference in the San Joaquín Valley and beyond? CITRIS and the Banatao Institute at UC Merced is hiring! <p>We are looking for a Research Grant Officer to help take us from $50M in 2021 to $100M in 2022.</p>Learn more about the job and how to apply.",
facts2_0,USDA-funded Internship Program Introduced New Bobcats to Agriculture Research,https://citris.ucmerced.edu/news/usda-funded-internship-program-introduced-new-bobcats-agriculture-research,20-Sep-21,"Shortly before the fall semester kicked off in person, 11 students were wrapping up their first summer on campus as part of the FACTS summer bridge program. FACTS stands for San Joaquin Valley Food and Agriculture Cyberinformatics Tools and Science. The six-week summer course, funded by the United States Department of Agriculture’s (USDA) National Institute of Food and Agriculture, introduces students to the world of research in agricultural science and technology. Read more by clicking the image above.",
Aviation,CITRIS Aviation Prize,https://citris-uc.org/labs-programs/aviation-and-uav-facilities/citris-aviation-prize-2021,19-Aug-21,"Celebrate National Aviation Day by signing up for the first-ever CITRIS Aviation Prize student competition!<br><br>Created in collaboration with the Institute for Transportation Studies at UC Berkeley, the CITRIS Aviation Prize challenges student teams to design, develop and demonstrate a long-distance, fully autonomous flight with a small UAV. We invite student teams from our four CITRIS campuses – UC Berkeley, UC Davis, UC Merced, UC Santa Cruz – to compete. <br><br> <b>The winning proposal will be recognized with the first CITRIS Aviation Design Prize, including a $2,000 cash award and up to $25,000 to demonstrate the actual flight in Spring 2022.</b> <br><br>Click the button below to register your team, or sign up for the upcoming info session. <br>Learn more and sign up!<b>Timeline</b><b>Team Registration Open:</b> August 19, 2021 – October 15, 2021 <b>Info Session: </b>September 2, 2021 4:00pm PT<b> Proposal Submissions Due: </b> November 19, 2021<b>Proposal Winner Announced:</b> December 17, 2021<b>Winning Flight Plan Exectued by End of Academic Year:</b> Spring 2022</li></ul>",
agaid-banner,New Artificial Intelligence Institute awarded to UC Merced strengthens agricultural systems research and workforce capabilities,https://citris.ucmerced.edu/news/agaid,29-Jul-21,"AI is an approach to harnessing the power of massive data and computational algorithms to “learn” about complex systems and their behavior – and it is the basis of digital transformation across industries. In the new $20M institute funded by USDA, AI will digitally transform how agriculture works as a complex system. ",
,The CITRIS Foundry Incubator Fall 2021 Application is now OPEN!,https://citris.ucmerced.edu/news/CITRIS-Foundry-Incubator-Fall-2021-Application,16-Jun-21,"Uniquely situated across multiple UC campuses, the CITRIS Foundry is ideally positioned to help new generations  of innovators and entrepreneurs bridge the gap from lab to market and actualize rigorous, validated solutions to society’s biggest challenges. The Foundry’s Incubator offers guidance, education, and a home-base to de-risk entrepreneurship for early-stage founders, especially supporting those who have been historically marginalized, allowing innovators to confidently identify pathways to success and reach the next stage of development and investment for their emerging technology venture. Learn more at citrisfoundry.org/incubator",
,NASA's FINESST selects CITRIS-affiliated researcher Brittany Lopez Barreto,https://citris.ucmerced.edu/news/NASA's-FINESST-Selects-Brittany-Lopez-Barreto,11-Jun-21,"Lopez Barreto has been named a NASA Future Investigator in Earth Space Science and Technology, also known as the NASA FINESST Program.Her proposal on wildfire and water supply was selected from 835 highly competitive proposals, 351 of which were in Earth Science. The program provides 3-year research grants to graduate students who design and perform projects relevant to NASA's Science Mission Directorate.<br><br><br><br><br></p>",
down-on-the-farm,Down on the Farm: Drought Edition,https://citris.ucmerced.edu/news/down-on-the-farm,24-May-21,"Professor Joshua Viers speaks with podcast host Tom Willey about the California drought and potential water management approaches on Willey's podcast, 'Down on the Farm.' Learn more by clicking the image above!",
solar-canal-cropped,ENERGY-WATER BENEFITS STUDY FEATURED IN LA Times,https://www.latimes.com/environment/newsletter/2021-04-22/solar-power-water-canals-california-climate-change-boiling-point,22-Apr-21,"LA Times staff writer, Sammy Roth interviews Director of the California Department of Water Resources, Karla Nemeth and the former chair of the State Water Resources Control Board, Felicia Marcus for their insights on a recent collaborative study by UC Merced's Professors Roger Bales, Joshua Viers and Tapan Pathak. Read the full article at the LA Times.",
bioscape,HESTIR TURNS NASA TECHNOLOGY TOWARD EARTH’S BIODIVERSITY,https://citris.ucmerced.edu/news/bioscape,"April 29th, 2021","Associate director for CITRIS, Erin Hestir will lead the first NASA biodiversity campaign which will focus on the South African Greate Cape Floristic Region. Learn more by clicking the image above.",
,The 5th Annual Women in Tech Symposium Sheds Light on the Ag-Tech Field and Inclusivity,https://theleaflet.org/home-1/women-in-tech?rq=5th,31-Mar-21,"In order to share the experiences of women in the technological field, the Women in Tech Symposium selects a tech-related topic each year and holds panels and discussions to dive deeper into the area of focus. This year marked the 5th Annual Women in Tech Symposium titled The New Era in Human-Computer Interaction. The event aimed to highlight cutting-edge technological innovations as well as the challenges in designing inclusive Human-Computer Interactions (HCI) <br><br>... <br><br> The symposium covered a host of topics associated with HCI including health, gaming, diversity and agriculture. Each panel held a distinguished group of speakers who discussed their research and experiences surrounding the topic. For the agriculture and HCI portion, which was entitled HCI and Food: Feeding 10 Billion People, Erin Hestir, associate professor at UC Merced, made opening remarks that stressed the significance of the intersection between technology and food production in feeding a rapidly growing population. <br><br><img id='img-wrapped' class='photo' src='../images/people/erin-hestir.jpg' alt=''>“The digital transformation of our food system is underway and agriculture is changing fast yet farming and food production has its own specific requirements and constraints that make considerations of human-computer interactions vital to a successful food future,” Hestir said. <br><br>Read more on SERC Leaflet",
facts-banner,First-Year and Transfer Students Can Dig into Research this Summer with Paid USDA Internships,https://citris.ucmerced.edu/facts,5-Apr-21,"The FACTS Bridge Program is a new internship designed to immerse students in agricultural science and research. It stands for San Joaquin Valley Food and Agriculture Cyberinformatics Tools and Science (FACTS). The six-week summer course, funded by the United States Department of Agriculture and National Institute of Food and Agriculture, introduces students to the world of research in agricultural science and technology. Click the image above to learn more!",
bernacchi-publish,Bernacchi Publishes Guide to Sequoia & Kings Canyon National Parks,https://citris.ucmerced.edu/news/bernacchi-publish,30-Mar-21,"Program director of CITRIS and staff researcher for The Sierra Nevada Research Institute Leigh Bernacchi’s publishes guide on the Sequoia & Kings Canyon National Park titled “Sequoia & Kings Canyon National Park: Hiking, Camping, Waterfalls & Big Trees.” Click the picture above to learn more and pick up your own copy on Amazon.",
,Professor Josué Medellín-Azuara Published in Proceedings of National Academy of Science,https://citris.ucmerced.edu/news/azuara-published-in-proceedings-of-national-academy-of-science,30-Mar-21,"Civil and Environmental Engineering Professor Josué Medellín-Azuara is part of an international team of researchers who conducted a systems analysis on water security in Jordan the findings of which were published in Proceedings of the National Academy of Science. The paper, titled 'A Coupled Human-Natural System Analysis of Freshwater Security Under Climate and Population Change' examines Jordan’s water crisis due to increased water use, population growth, climate change and other factors. The study finds that in the absence of demand management and supply interventions, and major reforms in the water sector, nearly 90 percent of the lower income population water security is under threat. </p>",
solar-canal,"Solar Panels Over Canals Can Save Money, Energy and Water, Study Shows",https://citris.ucmerced.edu/news/solar-panels-over-canals,18-Mar-21,"A new study by UC Merced's Professors Roger Bales, Joshua Viers and Tapan Pathak finds that over 60 billion gallons of water and 13 gigawatts of power could be saved annually by erecting solar panels over California Irrigation Canals. Click the image above to learn more!",
matlock_athena,Teenie Matlock receives Athena Award at CITRIS Women in Technology Symposium,https://citris.ucmerced.edu/news/matlock-receives-athena-award,12-Mar-21,"Professor and Vice Provost for Academic Personnel, and McClatchy Chair in Communications at University of California, Merced, Dr. Teenie Matlock was presented with the Athena Award for Academic Leadership, recognizing a lifetime of professional achievements. Athena Academic Leaders transform not only the lives of individuals by creating opportunities and by mentoring but shape the structures within the university system to afford equity and full participation for all.",
sam-markolf,The future of infrastructure presented in CITRIS Research Exchange Sam Markolf brings new approaches to sustainability and resiliency in joining UCM faculty,https://citris.ucmerced.edu/news/cres-sam-markolf,12-Mar-21,"Professor Markolf presents his seminar called Toward Sustainable and Resilient Infrastructure Systems in the Anthropocene. Professor Markolf focuses on the idea of making future infrastructure resilient and sustainable by changing all the surrounding systems that affect it. As time progresses and society and cities change, we need to adapt infrastructure to change as well.",
kurtz-josue,UC Merced faculty advise state’s energy and water efficiency program,https://citris.ucmerced.edu/news/sweep,26-Feb-21,"The California Department of Food and Agriculture&mdash;or CDFA&mdash;recently added two UC Merced faculty, Prof. Josu&eacute; Medell&iacute;n-Azuara and Prof. Sarah Kurtz to the advisory group for the State Water Efficiency &amp; Enhancement Program. SWEEP, as the program is commonly known, added an Ad Hoc advisory group. The group is responsible for creating recommendations to help farmers and water managers improve efficiency and improve participation across the state.",
tom-harmon-cres,Recent CITRIS Research Exchange Spreads the Word of a new Program that Hopes to Change the Central Valley for the Better,https://citris.ucmerced.edu/news/tom-harmon-cres,26-Feb-21,"Available as an online webinar, the CITRIS Research Exchange featured UC Merced's Tom Harmon, Director of the Sierra Nevada Research Institute and Chair and Professor of Civil & Environmental Engineering. He presented his ongoing program the Labor and Automation in California Agriculture (LACA): Equity, Productivity, & Resilience. Funded by the UC Office of the Presidents for $3.1 million for four UC campuses, LACA is intended to change the way California farms food in a way that is both environmentally friendly and boosts the economy. At its core, technology is a solution that will be carefully implemented to preserve jobs for a skilled workforce, leading to the vibrancy of the valley.",
eff,Tech research at UC Merced grows under Faculty Success Initiative Fellowship,https://citris.ucmerced.edu/news/extramural-funding-fellows,3-Feb-21,"Launched in 2020, the UC Merced Faculty Success Initiative Extramural Funding Fellowship (EFF) program helps early-career faculty learn key ways to synthesize their work for wider audiences. The aim of the program is to support faculty in the pursuit of extramural funding, with the goal of growing UC Merced’s research enterprise, advancing concepts in science, and enhancing national health and welfare.",
matlock_athena,MATLOCK EARNS PRESTIGIOUS ATHENA AWARD FOR ACADEMIC LEADERSHIP,https://citris.ucmerced.edu/news/matlock-athena,27-Jan-21,"Vice Provost for Academic Personnel Teenie Matlock has been honored with the Athena Award for Academic Leadership by the Women in Technology Initiative at the University of California. Matlock was selected from a nationally competitive pool of candidates exemplifying high technical achievement along with support for women in technical fields and advancements for gender equity. The award notification stated, “Your leadership in linguistics and HCI [human-computer interaction] and your commitment to mentoring the next generation of researchers and faculty is inspiring.”",
2021women-in-tech-symposium,Registration is now open for the 2021 Women in Tech Symposium,https://citris.ucmerced.edu/news/2021women-in-tech-symposium,22-Jan-21,"Registration for the Women in Tech Initiative at UC’s flagship event is now open! Now in its fifth year, this major annual event will showcase issues, sector opportunities, and the career paths of experts in human-computer interaction (HCI). <br>Now entering a new era, human-computer interaction is a multidisciplinary field that combines new technology in cyber-physical systems with human-centered design and usability. This year’s symposium will examine leading-edge technologies and challenges to ensuring equitable and inclusive HCI.",
2021womenintech,2021 Women in Tech Initiative Athena Award Winners Announced,https://citris.ucmerced.edu/news/2021women-in-tech,20-Jan-21,"The Women in Tech Initiative at UC is proud to announce the fifth annual Athena Award winners. Sponsored by CITRIS and the Banatao Institute and Berkeley Engineering, the awards recognize those who embody, encourage, and promote the inclusion of women in technology. This year’s Athena Award winners include UC Merced Professor Teenie Matlock, World Economic Forum’s Sheila Warren, UC Davis Assistant Professor Katia Cánepa Vega, and the nonprofit organization Self e-STEM.",
