ID,TITLE,LINK,BUTTON_TEXT,TEXT,DATES,LOCATION,EVENTABLE,HTML_ID,PDF_ID
Crestlogo+final,CEST STEM Camp and Virtual Sessions (K-12th Students & Teachers),https://ucmerced.az1.qualtrics.com/jfe/form/SV_b1SnBLvImTOLKh8,Register Here,"Open to K-12 students & teachers.The sessions will feature post-docs, graduate students,research scientists, faculty, and staff at UC Merced.Topics range from STEM activities to the innovative research findings","July 25-29, 2022","University of California, Merced",,cest-stem-camp,
Summer Institute CS for All,Teacher Summer Institute (K-12 Teachers),https://calteach.ucmerced.edu/SummerTeacherInstitute2022,Learn More,"Professional development in STEM fields.Led by staff, faculty, guest speakers, and more!Hosted by CalTeach UC Merced and CCBM",June 21st-June 24th,UC Merced campus (lunch provided!) remote options available,,summer-institute-cs-for-all,
KiDS Discovery STEM Camp21,"Elementary STEM Academy (1st, 2nd, and 3rd Grade)",https://www.kidsdiscoverystation.org/programs,Learn More,"Partnership with KiDS Discovery Station.Open to students who have finished grades 1st, 2nd, and/or 3rd",June 6th-10th,UC Merced ,,,
loh-flyer2,The motivation for chiplets and their Adoption in AMD Processors with Dr. Loh,NO_BUTTON,NO_BUTTON,"For decades, Moore’s Law has delivered the ability to integrate an exponentially increasing number of devices in the same silicon area at a roughly constant cost. This has enabled tremendous levels of integration, where the capabilities of computer systems that previously occupied entire rooms can now fit on a single integrated circuit. In recent times, the steady drum beat of Moore’s Law has started to slow down. Whereas device density historically doubled every 18-24 months, the rate of recent silicon process advancements has declined. While improvements in device scaling continue, albeit at a reduced pace, the industry is simultaneously observing increases in manufacturing costs. In response, the industry is now seeing a trend toward reversing direction on the traditional march toward more integration. Instead, multiple industry and academic groups are advocating that systems on chips (SoCs) be “disintegrated” into multiple smaller “chiplets.” This talk provides an overview of the technology challenges that motivated AMD to use chiplets, the technical solutions we developed for our products, and how we expanded the use of chiplets from individual processors to multiple product families. <br><br>Bio: Gabe is a Senior Fellow in AMD Research. He received his Ph.D. and M.S. in computer science from Yale University in 2002 and 1999, respectively, and his B.Eng. in electrical engineering from the Cooper Union in 1998. Gabe was also a tenured associate professor in the College of Computing at the Georgia Institute of Technology, a visiting researcher at Microsoft Research, and a senior researcher at Intel Corporation. He is a Fellow of the ACM and IEEE, recipient of ACM SIGARCH's Maurice Wilkes Award, Hall of Fame member for the MICRO, ISCA, and HPCA conferences, (co-)inventor on over ninety granted US patents, and a recipient of a U.S. National Science Foundation CAREER Award.","Friday, April 29, 2022 | 12-1PM",UC Merced SSB 170,,,CITRIS_FIT_LOH
amy-wu-event,AUTHOR EVENT WITH AMY WU HIGHLIGHTS WOMEN IN AGRIFOODTECH,https://snri.ucmerced.edu/sites/snri.ucmerced.edu/files/documents/amywu_flyer.pdf,View Full Flyer,"“We need more women at the table and it begins with giving voice to the journey of women who are already contributing to the food systems.” In person event at UC Merced with Amy Wu, creator of “From Farms to Incubators,” the book, the multimedia platform, the movement: connecting and empowering women in agrifoodtech and amplifying their voices, contributions, and innovations. <b>Free book to first 25 attendees</b>; undergraduate and graduate students in ag and STEM are particularly encouraged to attend. Light refreshments provided. This is a <a href=https://sustainability.ucmerced.edu/initiatives/food/no-food-left-behind target=_blank>No Food Left Behind</a> event. <br><br> <b>About the Author: </b><br>Amy Wu is the Creator and Chief Content Director of From Farms To Incubators. In 2020 Amy was named on Worth magazine's 'Groundbreakers 2020 list of 50 Women Changing the World' list. She was also a recipient of the Women in Agribusiness Demeter Award of Excellence. <br><br>Prior to starting From Farms to Incubators, Amy spent over two decades as an investigative reporter at media outlets including the USA Today Network where she reported on agriculture and agtech for The Salinas Californian. <br><br><b>Location: UC Merced Campus Conference Center Room 110 || April 12, 4:00 - 5:30</b>","Tuesday April 12, 2022| 4:00 - 5:30pm",,,,
o2fund,Oxygen Fund Info Session,https://events.ucmerced.edu/event/oxygen_fund_info_session,Learn More,"Join this info session to learn more about applying to the Oxygen Fund. The Oxygen Fund was established to help bring your idea, invention, business, class project, capstone, venture, or hackathon idea to the next step. The award is meant to give you oxygen, or breathing room, to spend time pursuing and developing your project. <br><br> <b>Zoom ID: 209 382 4142</b>","Friday, April 8, 2022 | 12pm to 12:30pm",,,,
agbag-david-z-2-7-2022,CITRIS Research on Ag-Food-Tech: Hybrid AGBag with DR. DAVID ZILBERMAN,https://ucmerced.zoom.us/meeting/register/tZMpfu-rpzgiHtUzycIj87mdKgGpDjSiAQqg,Register to Attend via zoom,"Zilberman is a highly cited thought leader in water policy and environmental and resource policy in agriculture. His work spans international issues in health and animal agriculture and tech adoption in Californian irrigation systems. He writes for a variety of audiences through Extension, general public and scholarly publications.<br><br><b>Join Dr. David Zilberman on Monday, March 14th at 12pm via zoom with the button below.</b>",14-Mar-22,,,,
,Tri-valley Innovation fair 2022,https://quest-science.org/innovation-fair/,Register,"The Tri-valley Innovation Fair connects everyone to the excitement of science, engineering, and technology. 55 exhibitors will showcase the region’s rich and diverse accomplishments, and learning opportunities. Meet the people who make innovation happen in local companies, schools, and community organizations. Interactive and hands-on activities will be featured indoors and outside. Special performances are also scheduled throughout the day. Activities span a range of topics, including rockets, robots, agriculture, weather, chemistry, health, biotech, art, astronomy, music, animals, and more!  The event program and final list of activities will be posted <a href=https://quest-science.org/innovation-fair/ target=_blank>here</a> a week before the event.","March 19, 2022 | 10am - 5 pm",,,,
murali,EECS and CITRIS Frontiers in Technology presents Dr. Murali Annavaram,https://ucmerced.zoom.us/meeting/register/tZArdOiqpzoqG9aS1F8weaEnoV2ginJiqPtX?utm_source=CITRIS&utm_medium=poster&utm_campaign=FIT,Register to Attend via Zoom,"Please join us for a special lecture hosted jointly by the Electrical Engineering and Computer Science Graduate Group and CITRIS UC Merced. This talk will cover privacy and security-related concerns as machine learning growth reaches diverse application domains. The data holders want to train or infer with private data while exploiting accelerators, such as GPUs, that are hosted in the cloud. Cloud systems are vulnerable to attackers that compromise the privacy of data and integrity of computations. Tackling such a challenge efficiently requires exploiting hardware security capabilities to reduce the cost of theoretical privacy algorithms. This talk will describe recent experiences in building privacy preserving machine learning systems. Dr. Annavaram will present DarKnight, a framework for large DNN training while protecting input privacy and computation integrity. Then he will focus on ML training challenges in the cloud: namely, stragglers and Byzantine nodes. The conclusion covers thoughts on ML privacy and security going forward.","March 11, 2022 | 12-1pm","COB 1, 205",,,
div-in-tech-2022,2022 Diversity in Tech Symposium: Advancing Climate Resilience,https://na.eventscloud.com/ereg/newreg.php?eventid=599958&,Register to attend,"Now in its sixth year, the annual Diversity in Tech Symposium (formerly Women in Tech) will highlight the experiences of experts working to advance innovation in clean energy, water conservation, food systems, disaster prediction, coastal science, sustainable manufacturing and many other areas within their organizations. Attendees are encouraged to join the career fair Thursday afternoon to meet company representatives and discover pathways into climate tech. This event will also feature the EDGE in Tech Initiative Athena Awards, recognizing those who have championed the advancement of women and people of color in technology.","March 10-11, 2022",,,,
wip-banner,CITRIS Workforce Innovation Program Info Session,https://berkeley.zoom.us/webinar/register/WN_3H4poHy1QsOc7eOiWeYdWQ,Register to Attend,"Interested in learning more about opportunities for a paid summer internship in an area of emerging IT innovation? Students of all majors at the four CITRIS campuses (Berkeley, Davis, Merced, and Santa Cruz) are invited to join this live webinar for information about the new program. We will answer your questions about the application process and program components.<br><br>Students who represent the rich diversity of the University of California, including women, people from underrepresented backgrounds, Pell Grant recipients, undocumented students, and first-generation students, are encouraged to apply.","March 4, 2022 | 12pm",,,,
luca-agbag-2022,CITRIS Research on Ag-Food-Tech: Hybrid AGBag with DR. LUCA Brillante,https://ucmerced.zoom.us/meeting/register/tZcpduCrpz0iEtESpAEMBvwPGZE3FCX8LnTj,Register to attend via zoom,"Dr. Luca Brillante's work aims to develop new sensors and approaches to monitor and increase vineyard efficiency and sustainability.<br><br><b>Join Dr. Luca Brillante on Friday, February 25nd at 12pm in SE2 224 or via zoom with the button below.</b>",25-Feb-22,,,,
cress-leapfrog,CITRIS Aviation Prize: Project LEAP-FROG Takes Flight,https://citris-uc.org/event/citris-research-exchange-citris-aviation/,Learn More and Register to Attend,"In this talk, the winners of CITRIS’s first <a href=https://citris.ucmerced.edu/news/citris-announces-winners-of-first-ever-student-aviation-prize target=_blank>Aviation Prize</a> will describe their winning proposal for a “long endurance edge-AI platform for research opportunities and data gathering” platform, or (LEAP-FROG) to demonstrate a small unmanned aircraft system (sUAS) Federal Aviation Administration (FAA) part 107 compliant fully autonomous flight of 115 miles, within a 5-mile circumference and including a 45-min battery reserve at UC Merced’s Vernal Pools.",23-Feb-22,,,,
weathers,CITRIS RESEARCH ON AG-FOOD TECH: HYBRID AGBAG,https://bit.ly/zoomWeathers,Register to Attend,"As technology expands the capacity of growers to gather data about their management we must ask questions about what are the right kinds of data, who owns the data, and how is it most helpful for the user. Join Robbie Weathers as he explores how this data must be balanced to serve the end goals of the grower and sustainability. <br><b>About the Speaker:</b> Robbie Weathers is a Product Manager at Granular, a Farm Management Software company that leverages fine-scale data to improve decision-making among growers.","November 18, 2021 | 12:00-1:00 PM",,"<a href=https://add.eventable.com/events/61413dde26559321b19db450/616602f50fddb90d3b4af8b8/ data-event=616602f50fddb90d3b4af8b8 class=eventable-link target=_blank data-key=61413dde26559321b19db450 data-style=3>Add to Calendar</a><script>!function(d,s,id){var js,fjs=d.getElementsByTagName(s)[0];if(!d.getElementById(id)){js=d.createElement(s);js.id=id;js.src='https://plugins.eventable.com/eventable.js';fjs.parentNode.insertBefore(js, fjs);}}(document, 'script', 'eventable-script');</script>",,
,CITRIS Research Exchange – Laurel Larsen on Climate Change,https://bit.ly/researchexchange2021,Register for Live Event,"<img id='img-wrapped' class='photo' src='../images/people/laurel-larson.jpg' alt=''><b>SPEAKER</b>: Laurel Larsen, Associate Professor and Delta Lead Scientist, UC Berkeley and Delta Stewardship Council<br><br><b>Abstract</b>:  Climate models project that changes in patterns of temperature and precipitation delivery will be ubiquitous, but how those changes cascade through watersheds is less certain. Indeed, the widespread disconnect between changes in extreme precipitation and extreme streamflow contrasts with model projections and underlies what has been referred to as a “grand challenge” of hydrology. Using CHOSEN (Comprehensive Hydrologic Observatory Sensor Network), we conducted a data-driven analysis of multidimensional hydrologic and climatic extremes. We found that drought and warming likely explain many of the observed changes in streamflow extreme but that wetter extremes arise from more complex phenomena. The talk concludes with a summary of some of the remaining “grand challenges” for understanding drought’s cascading effects on California’s ecosystems.<br><br><b>Come join us in SSM 150 from 11:30 - 1:00pm for the in person event. Lunch will be provided!</b><br><br> To zoom into the research exchange, visit: <a href=https://citris-uc.org/event/citris-research-exchange-laurel-larsen/ target=_blank>https://citris-uc.org/event/citris-research-exchange-laurel-larsen/</a>","November 3, 2021 | 11:30 - 1:00pm",S,Zoom,,
foundry2021,CITRIS Foundry Startup Showcase,https://www.eventbrite.com/e/citris-foundry-startup-showcase-tickets-170340976446?aff=odeimcmailchimp&mc_cid=aaa49aac01&mc_eid=9540515cc2,Learn more,"Join us for a virtual celebration of select startup teams from S21 Cohort, hear from alumni and community entrepreneurs, and network with our innovators, entrepreneurs, mentors, and supporters!",21-Oct-21,,,,
,CITRIS Research Exchange – Ahmed Sabbir Arif on Human Computer Interaction,https://bit.ly/researchexchange2021,Register for Live Event,"<img id='img-wrapped' class='photo' src='../images/people/ahmed_arif.jpg' alt=''><b>SPEAKER</b>: Dr. Ahmed Sabbir Arif, Assistant Professor Computer Science and Engineering, UC Merced<br><br><b>Abstract</b>: Silent speech that converts lip movements into text can mitigate many challenges of speech and traditional input methods. Yet, existing silent speech recognition models are error-prone or use impractical extremal devices or implants. In this talk, I will present the findings of three projects involving silent speech input. First, a social study established silent speech as an acceptable and desired mode of interaction. Second, two empirical studies revealed that users are more tolerant of errors in silent speech and tend to speak slowly when interacting with it. Third, a new end-to-end deep neural network that can automatically segment lip sequence videos and classify them into text. In an evaluation, the model reduced the word error rate by 57% compared to the state-of-the-arts without compromising the overall computation time.<br><br><b>Come join us in SSM 150 from 12:00 - 1:00pm for the in person event. Lunch will be provided!</b><br><br>To zoom into the research exchange, visit: <a href=https://citris-uc.org/event/citris-research-exchange-ahmed-sabbir-arif/ target=_blank>https://citris-uc.org/event/citris-research-exchange-ahmed-sabbir-arif/</a>","October 20, 2021 | 12:00 - 1:00pm",S,Zoom,,
AgBagLACA,CITRIS RESEARCH ON AG-FOOD TECH: HYBRID AGBAG,https://ucmerced.zoom.us/meeting/register/tZYpdO2ppjwqGtZUL0qtuOp5N57vSW5RF_mS,Register to Attend,"Automation, digitization, and platformization continue to impact and reshape CA agriculture presenting new opportunities and quandaries for the industry and its workers. In our presentation we review our research related to these issues. ",12-Oct-21,,,,
,Agriculture/Water/Energy (AWE) Education Series: Future Impacts of Technology and Water Resources on Farming.,https://cccconfer.zoom.us/webinar/register/WN_VkCBDPNMQoGKaq8_a3C43g,Register to Attend,"<img id='img-wrapped' class='photo' src='../images/people/josh-viers.jpg' alt=''><b>SPEAKER</b>: Dr. Joshua Viers is a Professor of Water Resources Management in the School of Engineering at UC Merced, where he also serves as the Associate Dean for Research and Director of the Center for Information Technology Research in the Interest of Society (CITRIS). <br><br><b>Description</b>: In the second webinar of the Ag-Water-Energy Education Series we will explore the current challenges of water constraints and an evolving energy economy on the future of agriculture and how adaptive technologies can be employed to sustain farming in the Central Valley.","Tuesday, October 5th | 3:00 - 4:30 pm",S,Zoom,,
,CITRIS Research Exchange – Margaret Burnett on Inclusive Design,https://bit.ly/researchexchange2021,Register for Live Event,"<img id='img-wrapped' class='photo' src='../images/people/burnett-margaret.jpg' alt=''><b>SPEAKER</b>: Professor, School of Electrical Engineering and Computer Science, Oregon State University<br><br><b>Abstract</b>: How can technology professionals assess whether their technology supports diverse users? And if they find problems, how can they fix them? Although there are empirical processes that can be used to find “inclusivity bugs” piecemeal, what is also needed is a systematic method to assess technology’s support for diverse populations. To fill this gap, we developed GenderMag, a method for finding and fixing “gender inclusivity bugs” — gender biases in technology interfaces and workflows. We then introduced InclusiveMag, which can be used to generate systematic inclusiveness methods for other dimensions of diversity. In this talk, we explain how GenderMag works, present the latest GenderMag results, and then introduce InclusiveMag and our early experiences with it. We conclude with actionable steps for industry and university professionals.<br><br><b>Come join us in SSM 150 from 12:00 - 1:00pm for the in person event. Lunch will be provided!</b><br><br>To zoom into the research exchange, visit: <a href=https://citris-uc.org/event/citris-research-exchange-margaret-burnett target=_blank>https://citris-uc.org/event/citris-research-exchange-margaret-burnett</a>","October 6, 2021 | 12:00 - 1:00pm",S,Zoom,,
,CITRIS Research Exchange – Shijia Pan on Cyber-Physical Systems,https://bit.ly/researchexchange2021,Register,"<img id='img-wrapped' class='photo' src='../images/people/shijia-pan.jpg' alt=''><b>SPEAKER</b>: Shijia Pan, Assistant Professor, Computer Science, and Engineering, UC Merced<br><br><b>Abstract</b>: The number of everyday smart devices is projected to grow to billions in the coming decade, which enables various smart building applications. These applications, especially in-home long-term occupant monitoring, rely on emerging device-free human sensing techniques. From the system perspective, we introduce an alternative non-intrusive sensing modality through ambient structural vibration to indirectly infer fine-grained occupant information. However, due to the complexity of the physical world, sensing data distributions face severe domain variances. Therefore, from the data perspective, accurate information learning through pure data-driven approaches requires a large amount of labeled data, which is costly and difficult to obtain in practice. We address these challenges by combining physical and data-driven knowledge in learning.<br><br> Come join us in SSM 150 from 12:00 - 1:00pm. To zoom into the research exchange, visit: <a href=https://citris-uc.org/event/citris-research-exchange-shijia-pan target=_blank>https://citris-uc.org/event/citris-research-exchange-shijia-pan</a><br><br>Add this event to your calendar: <a href=https://evt.mx/hOlMPgiO target=_blank>https://evt.mx/hOlMPgiO</a>","September 22, 2021 | 12:00 - 1:00pm",S,Zoom,,
AgBag-EliaScudiero,CITRIS Research on Ag-Food-Tech: Hybrid AGBag with Elia Scudiero,https://bit.ly/3kNtelg,Register for Zoom,"CITRIS, IoT4Ag, and LACA are delighted to host our UC Riverside colleague Dr. Elia Scudiero, Associate Research Agronomist with expertise in digital agronomy, remote sensing of soil salinity, soil-plant processes, and sustainable agriculture and water management practices. He leads the large USDA NIFA Sustainable Agricultural Systems project, “Artificial Intelligence for Sustainble Water, Nutrient, Salinity, and Pest Management in the Western US.” With UCR computer science professor Ahmed Eldawy, Scudiero is also the lead of a USDA NIFA New Investigator Award for a project helping California farmers use water more efficiently while protecting crops.",15-Sep-21,15-Sep-21,,,
,CITRIS Research on Ag-Food-Tech Ag Bag with Curran Hughes,https://ucmerced.zoom.us/meeting/register/tZYrfuyppj0tGdJ6vqHVNKsmqG7RepNsrQOD,Register for Zoom,"Join CITRIS UCMERCED on Wednesday, September 1st from 12:00pm-1:00pm in <b>SE2 224</b> and <a href=https://ucmerced.zoom.us/meeting/register/tZYrfuyppj0tGdJ6vqHVNKsmqG7RepNsrQOD target=_blank>Zoom</a> as we host Curran Hughes, a UC Davis graduate who is bringing his new technology for controlled environments and low-cost growing spaces to UC Merced. Curran has a company with the vision to eliminate agricultural plastic waste. The company deploys lightweight and recyclable industrial fabrics that can supplant most agricultural plastic films as well as toxic PVC fabrics in industrial and structural settings. Unlike incumbent agricultural plastic film manufacturers that push environmental costs on to growers and consumers, this new venture partners with growers to guarantee that materials are recycled at the end of their useful life, ultimately building a circular economy for agricultural and industrial plastics.","September 1st, 2021","September 1st, 2021",,,
,"The American Academy of Environmental Engineers and Scientists (AAEES) Distinguished Kappe Lecture on Transprofessional Environmental Wellness: GRoWES- Global Research on WaSH (Water, sanitation and hygiene) to Eliminate childhood stunting",http://bit.ly/2021KappeUCM,,"UNICEF estimates that one quarter of all children less than five years of age are stunted, globally. Stunting is closely linked to inadequate nutrition during the first 1,000-days of a child’s life, which is defined as the time from when a mother learns she is pregnant until the second birthday of her child. <br><br>Global Research on WaSH (water, sanitation and hygiene) to Eliminate childhood Stunting – aims to achieve four goals, namely: <br>1. Improving our basic understanding of the relationship between stunting and WaSH; <br>2. Eliminating stunting at pilot sites through targeted interventions; <br>3. Replicating and scaling-up sustainable solutions to stunting; and <br>4. Influencing global policy on nutrition (i.e., through the United Nations Decade of Action on Nutrition 2016-2025). <br><br> Join <a href=https://www.aaees.org/_downloadcenter/kappe/KappeBrochure-2020.pdf target='_blank'>Professor Daniel B. Oerther</a> on Friday, April 9th, from 12-1:30pm via zoom for this AAEES Kappe Lecture.",April 9th,Zoom,,,
ccyouth,Converging COVID 19 : Youth Moving Forward Virtual Conference,https://aeespconvergingcovid19.org/converging-covid-19-youth-moving-forward/,http://bit.ly/YouthForwardCOVID19,"A follow-up to the AEESP Converging COVID-19: Environment, Health, and Equity conference series. We want to allow the younger generation of adults (high school, undergraduate, graduate, and early career) to come together and discuss issues relevant to youth and COVID-19. The Conference will begin with a brief introduction with experts then student facilitated break-out rooms on Education, Youth Health, Vaccination, and Environment.  <br><br> Please Join us on April 8th from 10:30am - 12pm via zoom. Register below.","April 8th, 2021",zoom,,,
,2021 AG Tech Summit: Adapt + Thrive,https://valleyagtech.org/schedule,NO_BUTTON,"The 3rd Annual Ag Tech Summit focusing on advancing Ag Technology in the Central Valley will take a look at industry insights into key technologies in ag along with information and resources to deal with the COVID pandemic. <br><br> The event will take place from 8:30 am - 11:45 am on March 23rd, 2021, and from 8:30 am - 10:30 am on March 24th, 2021.","March 24th, 2021",,,,
2021women-in-tech-symposium,Registration is now open for the 2021 Women in Tech Symposium,https://www.eventbrite.com/e/women-in-tech-symposium-the-new-era-in-human-computer-interaction-tickets-120444415489,,"Registration for the Women in Tech Initiative at UC’s flagship event is now open! Now in its fifth year, this major annual event will showcase issues, sector opportunities, and the career paths of experts in human-computer interaction (HCI). <br>Now entering a new era, human-computer interaction is a multidisciplinary field that combines new technology in cyber-physical systems with human-centered design and usability. This year’s symposium will examine leading-edge technologies and challenges to ensuring equitable and inclusive HCI. <br><br>The event will take place on March 12, 2021!",20210312/20210312,12-Mar-21,,,
,HackMerced VI registration open,https://hackmerced.com/#hackmercedvi,,Sign up for the biggest hackathon in the San Joaquin Valley and show off your coding skills at this 36 hours event taking place from March 12-14.,20210210/20210210,,,,
,CITRIS Foundry Startup Showcase - Spring 2021,https://berkeley.zoom.us/meeting/register/tJEpcuGtpjouE9RCC7DZIJ_pwpdvfUOnlC_w?mc_cid=ae0492ad70&mc_eid=UNIQID,NO_BUTTON,"CITRIS Foundry would like to invite our alumni, mentors, advisors, and supporters, as well as the broader CITRIS and UC Berkeley community to join us in celebrating our Spring and Summer Cohort Startups from 2020. At CITRIS Foundry our innovators tackle big problems in industries ranging from cleantech to medical devices to consumer products and AI. By leveraging the incredible resources and expertise at UC Berkeley and the Bay Area entrepreneurship community, we help bring emerging innovation to market and society! <br><br>Join us on March 4th, 2021 at 4:30 pm via Zoom.",,,Zoom,,
,CITRIS Research Exchange with Sam Markolf,https://citris-uc.us2.list-manage.com/track/click?u=78285230b179f5fc2a6bcbbb3&id=aca5c036f5&e=2a237c259b,NO_BUTTON,"Dr. Samuel Markolf is an Assistant Professor within the Department of Civil and Environmental Engineering at the University of California-Merced, where his research broadly focuses on applying systems-thinking to sustainability and resilience challenges facing cities and infrastructure systems.<br><br>Join Sam Markolf on Wednesday March 3, 2021 from 12:00 pm to 1:00 pm via Zoom!",20210303/20210303,3-Mar-21,Zoom,,
